# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Dec  6 23:03:15 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_snum:        Number of Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_year:      Discovery Year,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_spectype:    Spectral Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
4 UMa b,4 UMa,1,1,Radial Velocity,2006,0.87,0.04,-0.04,0,7.1,1.6,-1.6,0,Msini,K1 III,4415,70,-70,0,18.11,1.47,-1.47,0,1.23,0.15,-0.15,0
42 Dra b,42 Dra,2,1,Radial Velocity,2008,1.19,0.01,-0.01,0,3.88,0.85,-0.85,0,Msini,K1.5 III,4200,70,-70,0,22.03,1,-1,0,0.98,0.05,-0.05,0
47 UMa b,47 UMa,1,3,Radial Velocity,1996,2.1,0.02,-0.02,0,2.53,0.07,-0.06,0,Msini,G0 V,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa c,47 UMa,1,3,Radial Velocity,2001,3.6,0.1,-0.1,0,0.54,0.066,-0.073,0,Msini,G1 V,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
47 UMa d,47 UMa,1,3,Radial Velocity,2009,11.6,2.1,-2.9,0,1.64,0.29,-0.48,0,Msini,G0V,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0
51 Eri b,51 Eri,3,1,Imaging,2015,13.2,0.2,-0.2,0,2,,,0,Mass,F0 IV,7295,120.09,-98.99,0,1.49,0.05,-0.06,0,1.75,0.05,-0.05,0
51 Peg b,51 Peg,1,1,Radial Velocity,1995,0.0527,0.003,-0.003,0,0.46,0.06,-0.01,0,Mass,G5V,5758,101.62,-119.62,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,0.1134,0.0006,-0.0006,0,0.8306,0.0033,-0.0033,0,Mass,K0 IV-V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,0.2373,0.0013,-0.0013,0,0.1714,0.0055,-0.0055,0,Mass,G8V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,5.957,0.074,-0.071,0,3.878,0.068,-0.068,0,Mass,G8 V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.01544,0.00005,-0.00005,0,0.02514,0.00101,-0.00104,0,Mass,G8 V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,0.7708,0.0043,-0.0044,0,0.141,0.012,-0.012,0,Mass,G8V,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,2.11,0.11,-0.11,0,2.01,0.077,-0.077,0,Msini,K0 IV,4938,,,0,5.2,,,0,1.44,,,0
61 Vir b,61 Vir,1,3,Radial Velocity,2009,0.050201,0.000005,-0.000005,0,0.016,0.002,-0.002,0,Msini,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
61 Vir c,61 Vir,1,3,Radial Velocity,2009,0.2175,0.0001,-0.0001,0,0.057,0.003,-0.003,0,Msini,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
61 Vir d,61 Vir,1,3,Radial Velocity,2009,0.476,0.001,-0.001,0,0.072,0.008,-0.008,0,Msini,G5 V,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
7 CMa b,7 CMa,1,2,Radial Velocity,2011,1.758,0.024,-0.001,0,1.85,0.06,-0.06,0,Msin(i)/sin(i),K1 III,4826,45,-55,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0
7 CMa c,7 CMa,1,2,Radial Velocity,2019,2.153,0.003,-0.08,0,0.87,0.06,-0.06,0,Msin(i)/sin(i),K1III(+M),4826,45,-55,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0
70 Vir b,70 Vir,1,1,Radial Velocity,1996,0.481,0.022,-0.022,0,7.49,0.61,-0.61,0,Mass,G5V,5495,,,0,1.89,,,0,1.09,,,0
75 Cet b,75 Cet,2,1,Radial Velocity,2012,2.1,,,0,3,,,0,Msini,G3 III,4846,18,-18,0,10.5,1,-1,0,2.49,0.02,-0.27,0
8 UMi b,8 UMi,1,1,Radial Velocity,2015,0.49,0.02,-0.02,0,1.31,0.16,-0.16,0,Msini,K0,4847,7,-7,0,10.3,0.57,-0.57,0,1.44,0.19,-0.19,0
81 Cet b,81 Cet,1,1,Radial Velocity,2008,2.5,,,0,5.3,,,0,Msini,G5 III,4785,25,-25,0,11,2,-1,0,2.4,0.1,-0.4,0
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,0.7,,,0,3.2,,,0,Msini,K0 III,4665,18,-18,0,11,0.1,-0.1,0,1.4,0.1,-0.1,0
AB Pic b,AB Pic,1,1,Imaging,2005,260,,,0,13.5,0.5,-0.5,0,Mass,K2 V,5285,10,-9,0,1,0.03,-0.02,0,0.9,0.1,-0.1,0
AU Mic b,AU Mic,1,2,Transit,2020,0.0645,0.0013,-0.0013,0,0.05349,0.01573,-0.01573,0,Mass,M1VE,3700,100,-100,0,0.75,0.03,-0.03,0,0.5,0.03,-0.03,0
AU Mic c,AU Mic,1,2,Transit,2021,0.1101,0.0022,-0.0022,0,0.04279,0.03587,-0.03587,0,Mass,M1VE,3700,100,-100,0,0.75,0.03,-0.03,0,0.5,0.03,-0.03,0
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,1.3,0.1,-0.1,0,6.4,1.3,-1.3,0,Msini,,4095,20,-20,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,0.78,0.05,-0.05,0,1.04,0.47,-0.47,0,Msini,K2 V,4864,101,-101,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,0.576,0.027,-0.027,0,1.061,0.27,-0.27,0,Msini,G5,4649,30,-30,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,0.539,,,0,1.11,,,0,Msini,K0,4796,117,-117,0,14.7,2.8,-2.8,0,1.1,0.2,-0.2,0
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,1.05,0.07,-0.07,0,21.4,78.55,-78.55,0,Msini,K2 II,4259,64,-64,0,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,2.01,,,0,12.47,,,0,Msini,K2 II,4137,10,-10,0,49,26,-26,0,2.8,1.5,-1.5,0
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,1.3,,,0,4.2,,,0,Msini,K5 III,4296,10,-10,0,17.3,0.9,-0.9,0,0.8,0.2,-0.2,0
BD+20 594 b,BD+20 594,1,1,Transit,2016,0.241,0.019,-0.017,0,0.07,0.03,-0.03,0,Mass,G,5766,99,-99,0,1.08,0.06,-0.06,0,1.67,0.4,-0.4,0
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,0.83,0.04,-0.04,0,1.36,0.12,-0.12,0,Msini,K1,5004,50,-50,0,0.81,0.04,-0.04,0,0.81,0.07,-0.07,0
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,1,,,0,0.91,,,0,Msini,K0 III,4414,15,-15,0,11,1,-1,0,0.74,0.39,-0.39,0
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,1.7,0.1,-0.1,0,1.7,0.7,-0.7,0,Msini,K3 III,4534,8,-8,0,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,4.2,0.32,-0.2,0,1.6,0.4,-0.2,0,Msini,K0,4943,30,-30,0,7.6,1.3,-1.3,0,1.52,0.22,-0.22,0
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,0.78,0.05,-0.05,0,0.72,0.08,-0.08,0,Msini,K3,5012,78,-78,0,0.9,0.06,-0.04,0,0.91,0.1,-0.1,0
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,2.06,0.14,-0.14,0,3.96,0.31,-0.31,0,Msini,K0,5000,53,-53,0,0.8,0.04,-0.06,0,0.82,0.08,-0.08,0
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,1.48,0.11,-0.11,0,25.05,2.23,-2.23,0,Msini,G0,5040,112,-112,0,0.84,0.04,-0.04,0,0.81,0.1,-0.1,0
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,0.0428,0.0007,-0.0007,0,0.027,0.004,-0.004,0,Msini,K7/M0 V,4324,100,-100,0,0.69,0.06,-0.07,0,0.7,,,0
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,0.435,0.007,-0.007,0,0.17,0.03,-0.03,0,Msini,K7/M0 V,4324,100,-100,0,0.69,0.06,-0.07,0,0.7,,,0
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,0.06,0,0,0,0.04,0.01,-0.01,0,Msini,K3 V,4816,114,-114,0,0.71,0.04,-0.04,0,0.5,0.26,-0.26,0
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,0.68,0.02,-0.02,0,0.33,0.03,-0.03,0,Msini,K3 V,4746,63,-63,0,0.72,0.02,-0.02,0,0.74,0.07,-0.07,0
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,0.04,0,0,0,0.59,0.07,-0.07,0,Msini,K0 V,5393,44,-44,0,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,2.36,0.04,-0.04,0,0.65,0.05,-0.06,0,Msini,K7 V,4550,110,-110,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,0.3,0.01,-0.01,0,0.04836,0.00934,-0.00884,0,Msini,K7V,4550,110,-110,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,1.66,0.12,-0.12,0,9.78,4.56,-4.56,0,Msini,G5 IV/V,4545,71,-71,0,19.17,4.96,-4.96,0,2.12,1.47,-1.47,0
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,1.34,0.02,-0.02,0,5.1,0.12,-0.12,0,Msini,K5 V,4714,93,-93,0,0.69,,,0,0.74,0.03,-0.03,0
CD Cet b,CD Cet,1,1,Radial Velocity,2020,0.0185,0.0013,-0.0013,0,0.01243,0.00132,-0.00135,0,Msini,M5.0 V,3130,51,-51,0,0.17,0.01,-0.01,0,0.16,0.01,-0.01,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,2.6,0.3,-0.3,0,10.5,4.5,-4.5,0,Mass,,580.5,24.5,-24.5,0,,,,,0.02,0.01,-0.01,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,200,6,-6,0,7.8,0.7,-0.8,0,Mass,M9-L1,2320,40,-40,0,0.24,0.01,-0.01,0,0.01,0,0,0
CHXR 73 b,CHXR 73,1,1,Imaging,2006,210,,,0,12.569,8.379,-5.237,0,Mass,M3.5,3099,128,-128,0,,,,,0.35,,,0
CI Tau b,CI Tau,1,1,Radial Velocity,2019,,,,,11.6,2.9,-2.7,0,Mass,K7,3807,131,-131,0,1.88,0.09,-0.42,0,0.9,0.02,-0.02,0
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,7506,5205,-2060,0,6.3,1.5,-1.9,0,Mass,M3 V,3406,69,-69,0,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0
CT Cha b,CT Cha,1,1,Imaging,2007,440,,,0,17,6,-6,0,Mass,K5e,4403,6,-10,0,1.68,0.1,-0.16,0,,,,
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,0.02752,0.00022,-0.00023,0,1.03,0.12,-0.12,0,Mass,G0 V,5950,150,-150,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,0.1055,0.0021,-0.0021,0,2.75,0.16,-0.16,0,Mass,K1 V,5075,75,-75,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,0.0436,0.005,-0.005,0,2.33,0.34,-0.34,0,Mass,F6 V,6440,120,-120,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,0.04016,0.00093,-0.00092,0,0.917,0.07,-0.065,0,Mass,,5675,80,-80,0,1.12,0.1,-0.09,0,1.08,0.08,-0.07,0
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,0.051,0.0031,-0.0031,0,1.308,0.066,-0.066,0,Mass,G0 V,5945,90,-90,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,0.027,0.002,-0.002,0,7.6,0.6,-0.6,0,Mass,F9 V,6035,100,-100,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,0.0618,0.0015,-0.0015,0,0.535,0.085,-0.083,0,Mass,G5 V,5650,100,-100,0,1.19,0.14,-0.13,0,1.1,0.08,-0.08,0
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,0.0461,0.0008,-0.0008,0,2.43,0.3,-0.3,0,Mass,G2 V,5740,80,-80,0,1.59,0.07,-0.07,0,1.04,0.1,-0.1,0
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,0.0295,0.0016,-0.0016,0,3.47,0.38,-0.38,0,Mass,G9 V,5440,100,-100,0,1,0.13,-0.13,0,0.95,0.15,-0.15,0
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,0.0518,0.0008,-0.0008,0,1.11,0.06,-0.06,0,Mass,F9 V,6090,70,-70,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,0.02798,0.00076,-0.0008,0,3.47,0.22,-0.22,0,Mass,,5625,120,-120,0,0.91,0.03,-0.03,0,0.96,0.08,-0.08,0
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,0.09,0.002,-0.002,0,4.3,0.2,-0.2,0,Mass,G2 V,5880,90,-90,0,1.02,0.05,-0.05,0,1.14,0.08,-0.08,0
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,2.9,0.07,-0.07,0,17,1,-1,0,Msini,G2 V,4947.5,65.51,-52.5,0,1.37,0.03,-0.04,0,1.14,0.08,-0.08,0
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,0.0417,0.0011,-0.0011,0,2.26,0.31,-0.31,0,Mass,F8 IV,6200,100,-100,0,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,0.092,0.0014,-0.0014,0,0.038,0.044,-0.028,0,Mass,G3 V,5939,54,-120,0,1.14,0.04,-0.09,0,1.1,0.05,-0.05,0
